Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2011/01/26,AMZN,AMZN,S,CBOE,14671
2011/01/27,AMZN,AMZN,S,CBOE,88538
2011/01/28,AMZN,AMZN,S,CBOE,71117
2011/01/31,AMZN,AMZN,S,CBOE,14806
2011/02/01,AMZN,AMZN,S,CBOE,10119
2011/02/02,AMZN,AMZN,S,CBOE,12944
2011/02/03,AMZN,AMZN,S,CBOE,13161
2011/02/04,AMZN,AMZN,S,CBOE,20904
2011/02/07,AMZN,AMZN,S,CBOE,13200
2011/02/08,AMZN,AMZN,S,CBOE,22257
2011/02/09,AMZN,AMZN,S,CBOE,29493
2011/02/10,AMZN,AMZN,S,CBOE,17785
2011/02/11,AMZN,AMZN,S,CBOE,24855
2011/02/14,AMZN,AMZN,S,CBOE,18899
2011/02/15,AMZN,AMZN,S,CBOE,10781
2011/02/16,AMZN,AMZN,S,CBOE,24065
2011/02/17,AMZN,AMZN,S,CBOE,12875
2011/02/18,AMZN,AMZN,S,CBOE,16895
2011/02/22,AMZN,AMZN,S,CBOE,16498
2011/02/23,AMZN,AMZN,S,CBOE,22582
2011/02/24,AMZN,AMZN,S,CBOE,15706
2011/02/25,AMZN,AMZN,S,CBOE,15645
2011/02/28,AMZN,AMZN,S,CBOE,22058
2011/03/01,AMZN,AMZN,S,CBOE,15656
2011/03/02,AMZN,AMZN,S,CBOE,15720
2011/03/03,AMZN,AMZN,S,CBOE,9321
2011/03/04,AMZN,AMZN,S,CBOE,13621
2011/03/07,AMZN,AMZN,S,CBOE,14377
2011/03/08,AMZN,AMZN,S,CBOE,11719
2011/03/09,AMZN,AMZN,S,CBOE,16943
2011/03/10,AMZN,AMZN,S,CBOE,15019
2011/03/11,AMZN,AMZN,S,CBOE,14725
2011/03/14,AMZN,AMZN,S,CBOE,10195
2011/03/15,AMZN,AMZN,S,CBOE,11347
2011/03/16,AMZN,AMZN,S,CBOE,10863
2011/03/17,AMZN,AMZN,S,CBOE,13486
2011/03/18,AMZN,AMZN,S,CBOE,18562
2011/03/21,AMZN,AMZN,S,CBOE,15061
2011/03/22,AMZN,AMZN,S,CBOE,8675
2011/03/23,AMZN,AMZN,S,CBOE,11545
2011/03/24,AMZN,AMZN,S,CBOE,25070
2011/03/25,AMZN,AMZN,S,CBOE,13601
2011/03/28,AMZN,AMZN,S,CBOE,9212
2011/03/29,AMZN,AMZN,S,CBOE,12770
2011/03/30,AMZN,AMZN,S,CBOE,35333
2011/03/31,AMZN,AMZN,S,CBOE,32801
2011/04/01,AMZN,AMZN,S,CBOE,25438
2011/04/04,AMZN,AMZN,S,CBOE,18682
2011/04/05,AMZN,AMZN,S,CBOE,19316
2011/04/06,AMZN,AMZN,S,CBOE,19094
2011/04/07,AMZN,AMZN,S,CBOE,17906
2011/04/08,AMZN,AMZN,S,CBOE,15792
2011/04/11,AMZN,AMZN,S,CBOE,10304
2011/04/12,AMZN,AMZN,S,CBOE,14197
2011/04/13,AMZN,AMZN,S,CBOE,10784
2011/04/14,AMZN,AMZN,S,CBOE,18456
2011/04/15,AMZN,AMZN,S,CBOE,24525
2011/04/18,AMZN,AMZN,S,CBOE,11124
2011/04/19,AMZN,AMZN,S,CBOE,5879
2011/04/20,AMZN,AMZN,S,CBOE,11015
2011/04/21,AMZN,AMZN,S,CBOE,12788
2011/04/25,AMZN,AMZN,S,CBOE,13407
2011/04/26,AMZN,AMZN,S,CBOE,47075
2011/04/27,AMZN,AMZN,S,CBOE,88445
2011/04/28,AMZN,AMZN,S,CBOE,29769
2011/04/29,AMZN,AMZN,S,CBOE,25680
2011/05/02,AMZN,AMZN,S,CBOE,42502
2011/05/03,AMZN,AMZN,S,CBOE,26513
2011/05/04,AMZN,AMZN,S,CBOE,24048
2011/05/05,AMZN,AMZN,S,CBOE,19352
2011/05/06,AMZN,AMZN,S,CBOE,20145
2011/05/09,AMZN,AMZN,S,CBOE,21062
2011/05/10,AMZN,AMZN,S,CBOE,28622
2011/05/11,AMZN,AMZN,S,CBOE,17534
2011/05/12,AMZN,AMZN,S,CBOE,19987
2011/05/13,AMZN,AMZN,S,CBOE,23889
2011/05/16,AMZN,AMZN,S,CBOE,38869
2011/05/17,AMZN,AMZN,S,CBOE,25278
2011/05/18,AMZN,AMZN,S,CBOE,15576
2011/05/19,AMZN,AMZN,S,CBOE,20230
2011/05/20,AMZN,AMZN,S,CBOE,19449
2011/05/23,AMZN,AMZN,S,CBOE,18950
2011/05/24,AMZN,AMZN,S,CBOE,10719
2011/05/25,AMZN,AMZN,S,CBOE,10393
2011/05/26,AMZN,AMZN,S,CBOE,12940
2011/05/27,AMZN,AMZN,S,CBOE,10775
2011/05/31,AMZN,AMZN,S,CBOE,8665
2011/06/01,AMZN,AMZN,S,CBOE,10736
2011/06/02,AMZN,AMZN,S,CBOE,9692
2011/06/03,AMZN,AMZN,S,CBOE,19465
2011/06/06,AMZN,AMZN,S,CBOE,14492
2011/06/07,AMZN,AMZN,S,CBOE,13395
2011/06/08,AMZN,AMZN,S,CBOE,9134
2011/06/09,AMZN,AMZN,S,CBOE,9709
2011/06/10,AMZN,AMZN,S,CBOE,15801
2011/06/13,AMZN,AMZN,S,CBOE,12153
2011/06/14,AMZN,AMZN,S,CBOE,10112
2011/06/15,AMZN,AMZN,S,CBOE,20467
2011/06/16,AMZN,AMZN,S,CBOE,26040
2011/06/17,AMZN,AMZN,S,CBOE,25138
2011/06/20,AMZN,AMZN,S,CBOE,9907
2011/06/21,AMZN,AMZN,S,CBOE,23205
2011/06/22,AMZN,AMZN,S,CBOE,10053
2011/06/23,AMZN,AMZN,S,CBOE,18158
2011/06/24,AMZN,AMZN,S,CBOE,11318
2011/06/27,AMZN,AMZN,S,CBOE,28432
2011/06/28,AMZN,AMZN,S,CBOE,16459
2011/06/29,AMZN,AMZN,S,CBOE,21998
2011/06/30,AMZN,AMZN,S,CBOE,13681
2011/07/01,AMZN,AMZN,S,CBOE,25589
2011/07/05,AMZN,AMZN,S,CBOE,15820
2011/07/06,AMZN,AMZN,S,CBOE,9401
2011/07/07,AMZN,AMZN,S,CBOE,11216
2011/07/08,AMZN,AMZN,S,CBOE,16970
2011/07/11,AMZN,AMZN,S,CBOE,15939
2011/07/12,AMZN,AMZN,S,CBOE,9216
2011/07/13,AMZN,AMZN,S,CBOE,11827
2011/07/14,AMZN,AMZN,S,CBOE,13424
2011/07/15,AMZN,AMZN,S,CBOE,15271
2011/07/18,AMZN,AMZN,S,CBOE,9122
2011/07/19,AMZN,AMZN,S,CBOE,11920
2011/07/20,AMZN,AMZN,S,CBOE,10314
2011/07/21,AMZN,AMZN,S,CBOE,16581
2011/07/22,AMZN,AMZN,S,CBOE,15262
2011/07/25,AMZN,AMZN,S,CBOE,11340
2011/07/26,AMZN,AMZN,S,CBOE,40457
2011/07/27,AMZN,AMZN,S,CBOE,54164
2011/07/28,AMZN,AMZN,S,CBOE,17107
2011/07/29,AMZN,AMZN,S,CBOE,25265
2011/08/01,AMZN,AMZN,S,CBOE,17018
2011/08/02,AMZN,AMZN,S,CBOE,18334
2011/08/03,AMZN,AMZN,S,CBOE,19057
2011/08/04,AMZN,AMZN,S,CBOE,19370
2011/08/05,AMZN,AMZN,S,CBOE,44527
2011/08/08,AMZN,AMZN,S,CBOE,22582
2011/08/09,AMZN,AMZN,S,CBOE,27345
2011/08/10,AMZN,AMZN,S,CBOE,17825
2011/08/11,AMZN,AMZN,S,CBOE,17771
2011/08/12,AMZN,AMZN,S,CBOE,12258
2011/08/15,AMZN,AMZN,S,CBOE,10177
2011/08/16,AMZN,AMZN,S,CBOE,13799
2011/08/17,AMZN,AMZN,S,CBOE,10373
2011/08/18,AMZN,AMZN,S,CBOE,24071
2011/08/19,AMZN,AMZN,S,CBOE,25172
2011/08/22,AMZN,AMZN,S,CBOE,15050
2011/08/23,AMZN,AMZN,S,CBOE,20746
2011/08/24,AMZN,AMZN,S,CBOE,13943
2011/08/25,AMZN,AMZN,S,CBOE,10858
2011/08/26,AMZN,AMZN,S,CBOE,34523
2011/08/29,AMZN,AMZN,S,CBOE,15070
2011/08/30,AMZN,AMZN,S,CBOE,14619
2011/08/31,AMZN,AMZN,S,CBOE,15652
2011/09/01,AMZN,AMZN,S,CBOE,19622
2011/09/02,AMZN,AMZN,S,CBOE,20005
2011/09/06,AMZN,AMZN,S,CBOE,17274
2011/09/07,AMZN,AMZN,S,CBOE,13335
2011/09/08,AMZN,AMZN,S,CBOE,12418
2011/09/09,AMZN,AMZN,S,CBOE,17715
2011/09/12,AMZN,AMZN,S,CBOE,12902
2011/09/13,AMZN,AMZN,S,CBOE,8790
2011/09/14,AMZN,AMZN,S,CBOE,13597
2011/09/15,AMZN,AMZN,S,CBOE,10906
2011/09/16,AMZN,AMZN,S,CBOE,31678
2011/09/19,AMZN,AMZN,S,CBOE,17429
2011/09/20,AMZN,AMZN,S,CBOE,15922
2011/09/21,AMZN,AMZN,S,CBOE,13958
2011/09/22,AMZN,AMZN,S,CBOE,22551
2011/09/23,AMZN,AMZN,S,CBOE,16237
2011/09/26,AMZN,AMZN,S,CBOE,12902
2011/09/27,AMZN,AMZN,S,CBOE,14434
2011/09/28,AMZN,AMZN,S,CBOE,32181
2011/09/29,AMZN,AMZN,S,CBOE,26861
2011/09/30,AMZN,AMZN,S,CBOE,18167
2011/10/03,AMZN,AMZN,S,CBOE,16583
2011/10/04,AMZN,AMZN,S,CBOE,20039
2011/10/05,AMZN,AMZN,S,CBOE,15684
2011/10/06,AMZN,AMZN,S,CBOE,11074
2011/10/07,AMZN,AMZN,S,CBOE,20187
2011/10/10,AMZN,AMZN,S,CBOE,10831
2011/10/11,AMZN,AMZN,S,CBOE,8088
2011/10/12,AMZN,AMZN,S,CBOE,14788
2011/10/13,AMZN,AMZN,S,CBOE,9621
2011/10/14,AMZN,AMZN,S,CBOE,20544
2011/10/17,AMZN,AMZN,S,CBOE,7553
2011/10/18,AMZN,AMZN,S,CBOE,13929
2011/10/19,AMZN,AMZN,S,CBOE,18670
2011/10/20,AMZN,AMZN,S,CBOE,11428
2011/10/21,AMZN,AMZN,S,CBOE,14711
2011/10/24,AMZN,AMZN,S,CBOE,11385
2011/10/25,AMZN,AMZN,S,CBOE,32847
2011/10/26,AMZN,AMZN,S,CBOE,55502
2011/10/27,AMZN,AMZN,S,CBOE,29480
2011/10/28,AMZN,AMZN,S,CBOE,32922
2011/10/31,AMZN,AMZN,S,CBOE,13482
2011/11/01,AMZN,AMZN,S,CBOE,23087
2011/11/02,AMZN,AMZN,S,CBOE,13210
2011/11/03,AMZN,AMZN,S,CBOE,18571
2011/11/04,AMZN,AMZN,S,CBOE,16920
2011/11/07,AMZN,AMZN,S,CBOE,7215
2011/11/08,AMZN,AMZN,S,CBOE,11037
2011/11/09,AMZN,AMZN,S,CBOE,15906
2011/11/10,AMZN,AMZN,S,CBOE,14426
2011/11/11,AMZN,AMZN,S,CBOE,16100
2011/11/14,AMZN,AMZN,S,CBOE,16515
2011/11/15,AMZN,AMZN,S,CBOE,12719
2011/11/16,AMZN,AMZN,S,CBOE,12327
2011/11/17,AMZN,AMZN,S,CBOE,38357
2011/11/18,AMZN,AMZN,S,CBOE,30636
2011/11/21,AMZN,AMZN,S,CBOE,20410
2011/11/22,AMZN,AMZN,S,CBOE,19554
2011/11/23,AMZN,AMZN,S,CBOE,15680
2011/11/25,AMZN,AMZN,S,CBOE,16185
2011/11/28,AMZN,AMZN,S,CBOE,13028
2011/11/29,AMZN,AMZN,S,CBOE,12321
2011/11/30,AMZN,AMZN,S,CBOE,13710
2011/12/01,AMZN,AMZN,S,CBOE,19422
2011/12/02,AMZN,AMZN,S,CBOE,17333
2011/12/05,AMZN,AMZN,S,CBOE,15341
2011/12/06,AMZN,AMZN,S,CBOE,12147
2011/12/07,AMZN,AMZN,S,CBOE,13786
2011/12/08,AMZN,AMZN,S,CBOE,10562
2011/12/09,AMZN,AMZN,S,CBOE,14090
2011/12/12,AMZN,AMZN,S,CBOE,12195
2011/12/13,AMZN,AMZN,S,CBOE,25512
2011/12/14,AMZN,AMZN,S,CBOE,32577
2011/12/15,AMZN,AMZN,S,CBOE,16920
